,PC1,PC2,Type
S_2202.Stool380,-0.328725702,-0.050754006,Gut
S_2202.Stool476,-0.34142816,-0.063479934,Gut
S_2202.Stool464,-0.303525444,-0.060175529,Gut
S_2202.Stool439,-0.311704672,-0.018619163,Gut
S_2202.Stool128,-0.225081737,-0.070472667,Gut
S_2202.Stool226,-0.201989272,-0.091876363,Gut
S_2202.Stool462,-0.326393674,-0.063833977,Gut
S_2202.Stool450,-0.352258033,-0.051415917,Gut
S_2202.Stool481,-0.302280779,-0.06289079,Gut
S_2202.Stool388,-0.308141606,-0.059200939,Gut
S_2202.Stool9,-0.200275808,-0.03944539,Gut
S_2202.Stool20,-0.268076929,-0.038702734,Gut
S_2202.Stool28,-0.176134479,-0.072417072,Gut
S_2202.Stool216,-0.182411593,-0.088379998,Gut
S_2202.Stool460,-0.292147799,-0.012964665,Gut
S_2202.Stool390,-0.347664497,-0.039390386,Gut
S_2202.Stool409,-0.314461113,-0.054916259,Gut
S_2202.Stool517,-0.343153517,-0.038356902,Gut
S_2202.Stool304,-0.214697436,-0.07493187,Gut
S_2202.Stool426,-0.301296264,-0.053348404,Gut
S_2202.Stool40,-0.263864657,-0.052356996,Gut
S_2202.Stool155,-0.31147703,-0.039410962,Gut
S_2202.Stool470,-0.331253143,-0.059494659,Gut
S_2202.Stool365,-0.179219973,-0.066124021,Gut
